trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
198,False,"{'a': 0.5, 'e': 0.3706551064126331}",25,0,-60.05922063707586,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
199,False,"{'a': 0.5, 'e': 0.3688018308805699}",25,17,-2.6992137657379827,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.36695782172616703}",25,0,-60.4545801908621,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
201,False,"{'a': 0.5, 'e': 0.3651230326175362}",30,0,26.750719846118354,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.36329741745444855}",30,0,-28.38175612187135,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
203,False,"{'a': 0.5, 'e': 0.3614809303671763}",25,16,17.928349432012737,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.3596735257153404}",35,23,-69.46680325275784,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
205,False,"{'a': 0.5, 'e': 0.35787515808676373}",25,11,-2.8314781648054055,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.35608578229632987}",20,14,-0.8317948564186082,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.35430535338484825}",20,0,-13.539300326570316,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.352533826617924}",30,0,15.819635043061187,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.3507711574848344}",20,2,-20.479103663729685,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.5, 'e': 0.3490173016974102}",30,6,-28.315232854716474,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
211,False,"{'a': 0.5, 'e': 0.34727221518892315}",20,4,11.591182158081724,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.34553585411297855}",25,0,-95.53087476897706,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
213,False,"{'a': 0.5, 'e': 0.3438081748424136}",20,15,9.596554688419282,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.34208913396820156}",25,12,13.829994369216593,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.34037868829836054}",25,2,-43.977522792641004,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.33867679485686875}",20,10,1.6754099276389427,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.3369834108825844}",20,15,9.78481750960318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.33529849382817145}",25,16,2.1924923720214418,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
